,,,,,Life expectancy at birth for both sexes combined (years),,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
198,Estimates,Central America,,916,49.1,53.25,56.47,58.62,61.06,63.6,65.91,68.3,70.53,72.5,73.87,74.85,75.79
199,Estimates,Belize,,84,55.92,58.64,61.35,64.26,66.72,68.66,70.35,71.46,70.57,68.59,68.52,69.58,69.76
200,Estimates,Costa Rica,,188,56,58.75,62.37,65.17,67.7,70.49,73.42,75.09,76.07,77.03,77.81,78.41,79.16
201,Estimates,El Salvador,,222,44.26,48.12,51.58,53.93,55.75,56.21,57.15,61.55,66.07,68.02,69.57,71.13,72.63
202,Estimates,Guatemala,,320,42.92,45.46,48.01,50.93,53.97,56.19,58.4,60.98,63.6,66.55,68.94,70.5,72.44
203,Estimates,Honduras,,340,41.79,44.59,48,51.05,54.09,57.71,61.59,65.45,67.73,69.88,71.01,72.01,72.88
204,Estimates,Mexico,,484,50.7,55.27,58.47,60.29,62.57,65.31,67.72,69.83,71.81,73.67,74.9,75.72,76.48
205,Estimates,Nicaragua,,558,42.29,45.43,48.66,51.96,55.26,57.61,59.46,62.18,66.11,68.49,70.91,72.83,74.47
206,Estimates,Panama,,591,56.8,59.5,62.15,64.36,66.74,69.22,71,72.38,73.55,74.6,75.54,76.36,77.32
207,Estimates,South America,26,931,51.94,54.37,56.69,58.78,60.94,62.64,64.46,66.1,67.78,69.89,71.74,73.2,74.5
208,Estimates,Argentina,,32,62.54,64.55,65.27,65.8,67.24,68.67,70.17,71.02,72.15,73.28,74.34,75.18,76.01
209,Estimates,Bolivia (Plurinational State of),,68,40.02,41.39,42.95,44.72,46.69,48.86,51.22,53.77,56.47,59.27,62.11,64.95,67.72
210,Estimates,Brazil,,76,50.83,52.99,55.54,57.99,60.13,61.32,62.72,64.4,66.34,68.9,71.1,72.91,74.66
211,Estimates,Chile,,152,54.64,56.38,58.32,60.82,63.94,67.38,70.57,72.7,74.56,76.1,77.37,78.13,78.82
212,Estimates,Colombia,,170,50.65,55.17,57.95,60.08,61.76,63.99,66.86,67.99,68.66,70.3,71.67,72.86,73.74
213,Estimates,Ecuador,,218,48.65,51.59,54.75,56.78,58.89,61.67,64.56,67.63,70.17,72.1,73.62,74.57,75.54
214,Estimates,French Guiana,,254,53.32,56.14,59.53,64.37,65.73,66.54,69.2,71.06,72.75,74.24,76.09,77.97,79.18
215,Estimates,Guyana,,328,58.83,59.81,60.69,61.55,61.96,62.31,62.68,62.98,63.69,64.56,65.25,65.79,66.26
216,Estimates,Paraguay,,600,62.73,63.29,64.47,65.04,65.93,66.51,67.07,67.59,68.49,69.4,70.76,71.75,72.74
217,Estimates,Peru,,604,43.91,46.28,49.12,51.49,55.52,58.53,61.55,64.29,66.75,69.27,71.6,73.15,74.16
218,Estimates,Suriname,,740,55.98,58.68,60.51,62.42,64,65.11,66.53,67.13,67.6,67.82,68.06,69.63,70.9
219,Estimates,Uruguay,,858,66.11,67.11,68.34,68.55,68.77,69.58,70.98,72.12,73.03,74.23,75.33,76.2,76.96
220,Estimates,Venezuela (Bolivarian Republic of),,862,54.84,57.77,60.68,63.27,65.72,67.37,68.71,69.47,70.23,71.62,72.82,73.35,73.95
221,Estimates,NORTHERN AMERICA,27,905,68.72,69.7,70.2,70.51,71.56,73.35,74.51,75.08,75.85,76.68,77.41,78.42,79.17
222,Estimates,Canada,,124,69.05,70.32,71.34,72.15,73.01,74.31,75.85,76.83,77.75,78.57,79.69,80.76,81.77
223,Estimates,United States of America,,840,68.71,69.67,70.11,70.37,71.42,73.25,74.38,74.9,75.65,76.48,77.17,78.16,78.88
224,Estimates,OCEANIA,,909,61.57,63.36,64.41,65.41,66.87,68.67,70.44,71.42,73.05,74.2,75.66,77.02,77.92
225,Estimates,Australia/New Zealand,,927,69.45,70.47,70.93,70.92,71.76,73.41,74.85,75.88,77.46,78.62,80.12,81.28,82.14
226,Estimates,Australia,28,36,69.39,70.43,70.88,70.84,71.76,73.59,75.09,76.18,77.69,78.84,80.33,81.48,82.3
227,Estimates,New Zealand,,554,69.77,70.69,71.18,71.27,71.78,72.63,73.77,74.45,76.35,77.57,79.07,80.32,81.32
228,Estimates,Melanesia,,928,40.5,43.27,45.54,49.15,52.19,55.47,58.43,59.2,60.78,62.2,63.67,65.21,66.12
229,Estimates,Fiji,,242,52.21,54.73,56.91,58.93,60.71,62.24,63.68,64.93,66.05,67.07,68,68.8,69.72
230,Estimates,New Caledonia,,540,50.74,54.6,58.03,61.04,63.69,66.02,68.07,69.88,71.45,72.82,74.06,75.16,76.26
231,Estimates,Papua New Guinea,,598,38.32,40.93,43.04,46.88,50.12,53.72,57.12,58.07,59.71,61.1,62.59,64.18,64.97
232,Estimates,Solomon Islands,,90,45.39,47.92,50.44,52.97,55.52,58.02,58.75,55.84,58.33,61.46,64.69,67.37,69.6
233,Estimates,Vanuatu,,548,41.94,44.94,47.95,50.94,53.8,56.78,59.79,61.93,64.21,66.42,68.36,69.99,71.36
234,Estimates,Micronesia,29,954,53.5,55.43,57.69,59.79,61.92,63.5,64.59,65.99,67.55,69.39,70.92,71.94,72.81
235,Estimates,Guam,,316,57.13,59.67,62.24,64.57,66.66,68.45,70,71.34,72.54,74.09,75.92,77.36,78.84
236,Estimates,Kiribati,,296,46.38,47.99,50.63,53.03,55.54,56.64,57.32,59.14,61.59,63.28,64.54,65.08,65.68
237,Estimates,Micronesia (Fed. States of),,583,54.58,56.58,58.58,60.59,62.69,64.77,65.35,65.93,66.49,67.05,67.58,68.35,68.79
238,Estimates,Polynesia,30,957,50.4,53.91,56.08,58.31,60.28,62.25,64.81,66.72,68.51,70.13,71.58,73.2,74.54
239,Estimates,French Polynesia,,258,48.94,54.86,57.11,59.28,61.04,62.83,66.28,67.97,69.46,71.44,73.17,75.01,76.14
240,Estimates,Samoa,,882,45.93,48.5,51,53.53,56.03,58.54,61.05,63.5,66.17,68.46,70.1,72.05,74.09
241,Estimates,Tonga,,776,58.65,60.47,62.31,64.03,65.65,66.85,68.09,69.25,69.87,70.47,71.16,71.84,72.51
